State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
ALABAMA,LOWNDES COUNTY,"WHITE HALL, TOWN OF (010507)", 2 ," $183,000 ", $935 ," $1,136 "
ALABAMA,MACON COUNTY,MACON COUNTY * (010148), 19 ," $5,020,000 "," $17,717 "," $22,797 "
ALABAMA,MACON COUNTY,"TUSKEGEE, CITY OF (010150)", 4 ," $931,000 "," $2,469 "," $3,204 "
ALABAMA,MADISON COUNTY,"GURLEY, TOWN OF (010152)", 8 ," $1,953,000 "," $8,908 "," $11,093 "
ALABAMA,MADISON COUNTY,"HUNTSVILLE, CITY OF (010153)"," 2,580 "," $748,651,000 "," $2,640,322 "," $3,330,832 "
ALABAMA,MADISON COUNTY,"MADISON, CITY OF (010308)", 218 ," $73,217,000 "," $208,546 "," $260,046 "
ALABAMA,MADISON COUNTY,MADISON COUNTY * (010151), 601 ," $173,946,000 "," $514,604 "," $631,578 "
ALABAMA,MADISON COUNTY,"NEW HOPE, CITY OF (010154)", 72 ," $16,284,000 "," $82,972 "," $102,922 "
ALABAMA,MADISON COUNTY,"OWENS CROSS ROADS, TOWN OF (010218)", 76 ," $14,962,000 "," $62,754 "," $78,683 "
ALABAMA,MADISON COUNTY,"TRIANA, TOWN OF (010155)", 20 ," $6,317,000 "," $14,435 "," $17,588 "
ALABAMA,MARENGO COUNTY,"DEMOPOLIS, CITY OF (010157)", 43 ," $5,863,000 "," $42,398 "," $52,991 "
ALABAMA,MARENGO COUNTY,"LINDEN, CITY OF (010158)", 1 ," $13,000 ", $419 , $511 
ALABAMA,MARENGO COUNTY,MARENGO COUNTY * (010156), 30 ," $6,031,000 "," $26,258 "," $32,831 "
ALABAMA,MARENGO COUNTY,"PROVIDENCE, TOWN OF (010159)", 3 ," $135,000 "," $1,582 "," $1,916 "
ALABAMA,MARION COUNTY,"HAMILTON, CITY OF (010163)", 15 ," $4,092,000 "," $12,646 "," $16,969 "
ALABAMA,MARION COUNTY,MARION COUNTY * (010161), 11 ," $1,922,000 "," $19,272 "," $23,598 "
ALABAMA,MARION COUNTY,"WINFIELD, CITY OF (010164)", 2 ," $778,000 "," $5,324 "," $6,540 "
ALABAMA,MARSHALL COUNTY,"ALBERTVILLE, CITY OF (010366)", 22 ," $5,059,000 "," $27,916 "," $34,655 "
ALABAMA,MARSHALL COUNTY,"ARAB, CITY OF (010345)", 13 ," $3,277,000 "," $12,056 "," $14,442 "
ALABAMA,MARSHALL COUNTY,"BOAZ, CITY OF (010276)", 11 ," $3,269,000 "," $12,792 "," $15,952 "
ALABAMA,MARSHALL COUNTY,"GUNTERSVILLE, CITY OF (010311)", 12 ," $3,928,000 "," $13,910 "," $17,062 "
ALABAMA,MARSHALL COUNTY,MARSHALL COUNTY * (010275), 32 ," $8,114,000 "," $29,975 "," $37,700 "
ALABAMA,MOBILE COUNTY,"BAYOU LA BATRE, CITY OF (015001)", 208 ," $68,494,000 "," $620,437 "," $761,884 "
ALABAMA,MOBILE COUNTY,"CHICKASAW, CITY OF (015003)", 103 ," $23,653,000 "," $147,340 "," $178,940 "
ALABAMA,MOBILE COUNTY,"CITRONELLE, CITY OF (010277)", 1 ," $208,000 ", $567 , $686 
ALABAMA,MOBILE COUNTY,"CREOLA, CITY OF (010409)", 44 ," $8,971,000 "," $36,905 "," $44,726 "
ALABAMA,MOBILE COUNTY,"DAUPHIN ISLAND, TOWN OF (010418)"," 1,951 "," $530,263,000 "," $1,967,400 "," $2,596,220 "
ALABAMA,MOBILE COUNTY,"MOBILE, CITY OF (015007)"," 3,241 "," $992,611,000 "," $3,902,471 "," $4,868,420 "
ALABAMA,MOBILE COUNTY,MOBILE COUNTY* (015008)," 1,275 "," $387,751,000 "," $1,335,538 "," $1,649,009 "
ALABAMA,MOBILE COUNTY,"MOUNT VERNON, TOWN OF (010169)", 1 ," $100,000 ", $548 , $888 
ALABAMA,MOBILE COUNTY,"PRICHARD, CITY OF (010170)", 45 ," $10,252,000 "," $40,692 "," $51,236 "
ALABAMA,MOBILE COUNTY,"SARALAND, CITY OF (010171)", 325 ," $70,817,000 "," $399,904 "," $490,322 "
ALABAMA,MOBILE COUNTY,"SATSUMA, CITY OF (010172)", 93 ," $25,364,000 "," $93,710 "," $114,140 "
ALABAMA,MONROE COUNTY,MONROE COUNTY * (010325), 9 ," $1,373,000 "," $9,473 "," $12,001 "
ALABAMA,MONTGOMERY COUNTY,"MONTGOMERY, CITY OF (010174)", 820 ," $217,958,000 "," $773,085 "," $987,453 "
ALABAMA,MONTGOMERY COUNTY,MONTGOMERY COUNTY * (010278), 145 ," $35,666,000 "," $107,683 "," $137,791 "
ALABAMA,MONTGOMERY COUNTY,"PIKE ROAD, TOWN OF (010433)", 38 ," $10,878,000 "," $26,111 "," $33,015 "
ALABAMA,MORGAN COUNTY,"DECATUR, CITY OF (010176)", 329 ," $85,897,000 "," $341,357 "," $433,663 "
ALABAMA,MORGAN COUNTY,"FALKVILLE, TOWN OF (010177)", 5 ," $1,108,000 "," $3,609 "," $4,341 "
ALABAMA,MORGAN COUNTY,"HARTSELLE, CITY OF (010178)", 44 ," $12,473,000 "," $54,702 "," $68,426 "
ALABAMA,MORGAN COUNTY,MORGAN COUNTY * (010175), 126 ," $29,515,000 "," $99,939 "," $126,090 "
ALABAMA,MORGAN COUNTY,"PRICEVILLE, TOWN OF (010448)", 54 ," $15,929,000 "," $42,552 "," $51,331 "
ALABAMA,MORGAN COUNTY,"SOMERVILLE, TOWN OF (010363)", 1 ," $140,000 ", $593 , $716 
ALABAMA,MORGAN COUNTY,"TRINITY, TOWN OF (010309)", 4 ," $794,000 "," $2,614 "," $3,376 "
ALABAMA,PERRY COUNTY,"MARION, CITY OF (010313)", 1 ," $126,000 ", $348 , $427 
ALABAMA,PICKENS COUNTY,"ALICEVILLE, CITY OF (010180)", 14 ," $2,829,000 "," $13,348 "," $18,233 "
ALABAMA,PICKENS COUNTY,"CARROLLTON, TOWN OF (010181)", 1 ," $25,000 ", $217 , $273 
ALABAMA,PICKENS COUNTY,"GORDO, TOWN OF (010220)", 5 ," $702,000 "," $6,358 "," $8,035 "
ALABAMA,PICKENS COUNTY,PICKENS COUNTY * (010283), 16 ," $3,333,000 "," $16,241 "," $20,331 "
ALABAMA,PICKENS COUNTY,"PICKENSVILLE, TOWN OF (010423)", 29 ," $5,946,000 "," $34,589 "," $42,646 "
ALABAMA,PICKENS COUNTY,"REFORM, TOWN OF (010221)", 9 ," $1,895,000 "," $7,366 "," $10,415 "
ALABAMA,PIKE COUNTY,PIKE COUNTY* (010286), 11 ," $2,411,000 "," $8,889 "," $10,895 "
ALABAMA,PIKE COUNTY,"TROY, CITY OF (010285)", 5 ," $1,874,000 "," $7,433 "," $9,078 "
ALABAMA,RANDOLPH COUNTY,RANDOLPH COUNTY * (010182), 13 ," $3,264,000 "," $11,413 "," $15,257 "
ALABAMA,RANDOLPH COUNTY,"WADLEY, TOWN OF (010183)", 1 ," $500,000 "," $1,574 "," $2,099 "
ALABAMA,RANDOLPH COUNTY,"WEDOWEE, TOWN OF (010401)", 2 ," $190,000 "," $1,658 "," $1,990 "
ALABAMA,RUSSELL COUNTY,"PHENIX CITY, CITY OF (010184)", 52 ," $13,395,000 "," $74,732 "," $92,193 "
ALABAMA,RUSSELL COUNTY,RUSSELL COUNTY * (010287), 27 ," $7,433,000 "," $21,093 "," $26,687 "
ALABAMA,SHELBY COUNTY,"ALABASTER, CITY OF (010192)", 122 ," $31,927,000 "," $144,953 "," $178,913 "
ALABAMA,SHELBY COUNTY,"BIRMINGHAM, CITY OF (010116)", 3 ," $1,600,000 "," $2,809 "," $4,039 "
ALABAMA,SHELBY COUNTY,"CALERA, CITY OF (010373)", 32 ," $8,526,000 "," $32,110 "," $40,667 "
ALABAMA,SHELBY COUNTY,"CHELSEA, CITY OF (010432)", 14 ," $3,430,000 "," $18,158 "," $22,784 "
ALABAMA,SHELBY COUNTY,"HARPERSVILLE, TOWN OF (010293)", 13 ," $3,759,000 "," $11,831 "," $14,401 "
ALABAMA,SHELBY COUNTY,"HELENA, CITY OF (010294)", 54 ," $20,910,000 "," $75,410 "," $94,150 "
ALABAMA,SHELBY COUNTY,"HOOVER, CITY OF (010123)", 54 ," $18,011,000 "," $44,687 "," $55,653 "
ALABAMA,SHELBY COUNTY,"INDIAN SPRINGS VILLAGE, TOWN OF (010430)", 23 ," $11,525,000 "," $40,423 "," $51,454 "
ALABAMA,SHELBY COUNTY,"MONTEVALLO, CITY OF (010349)", 4 ," $1,098,000 "," $5,932 "," $7,067 "
ALABAMA,SHELBY COUNTY,"PELHAM, CITY OF (010193)", 214 ," $63,711,000 "," $306,577 "," $370,258 "
ALABAMA,SHELBY COUNTY,SHELBY COUNTY* (010191), 111 ," $30,490,000 "," $103,732 "," $128,519 "
ALABAMA,SHELBY COUNTY,"VINCENT, TOWN OF (010292)", 4 ," $1,679,000 "," $10,619 "," $12,822 "
ALABAMA,SHELBY COUNTY,"WESTOVER, TOWN OF (010451)", 4 ," $662,000 "," $3,602 "," $4,316 "
ALABAMA,SHELBY COUNTY,"WILSONVILLE, TOWN OF (010404)", 14 ," $3,823,000 "," $12,088 "," $15,170 "
ALABAMA,ST. CLAIR COUNTY,"ARGO, CITY OF (010450)", 3 ," $1,050,000 "," $2,885 "," $3,454 "
ALABAMA,ST. CLAIR COUNTY,"ASHVILLE, CITY OF (010186)", 1 ," $210,000 ", $872 ," $1,046 "
ALABAMA,ST. CLAIR COUNTY,"LEEDS, CITY OF (010125)", 13 ," $3,912,000 "," $25,783 "," $31,540 "
ALABAMA,ST. CLAIR COUNTY,"MARGARET, CITY OF (010393)", 1 ," $137,000 ", $742 , $892 
ALABAMA,ST. CLAIR COUNTY,"MOODY, CITY OF (010187)", 27 ," $8,677,000 "," $25,693 "," $32,116 "
ALABAMA,ST. CLAIR COUNTY,"ODENVILLE, CITY OF (010188)", 10 ," $2,429,000 "," $16,198 "," $20,404 "
ALABAMA,ST. CLAIR COUNTY,"PELL CITY, CITY OF (010189)", 129 ," $33,816,000 "," $108,711 "," $133,790 "
ALABAMA,ST. CLAIR COUNTY,"RAGLAND, TOWN OF (010190)", 1 ," $350,000 ", $857 ," $1,028 "
ALABAMA,ST. CLAIR COUNTY,"RIVERSIDE, CITY OF (010288)", 23 ," $5,589,000 "," $19,291 "," $24,268 "
ALABAMA,ST. CLAIR COUNTY,"SPRINGVILLE, CITY OF (010289)", 6 ," $1,882,000 "," $6,629 "," $7,922 "
ALABAMA,ST. CLAIR COUNTY,ST. CLAIR COUNTY * (010290), 136 ," $33,565,000 "," $113,714 "," $140,037 "
ALABAMA,ST. CLAIR COUNTY,"STEELE, TOWN OF (010291)", 2 ," $283,000 "," $2,716 "," $3,238 "
ALABAMA,ST. CLAIR COUNTY,"TRUSSVILLE, CITY OF (010133)", 2 ," $600,000 "," $2,768 "," $3,300 "
ALABAMA,SUMTER COUNTY,"CUBA, TOWN OF (010379)", 2 ," $156,000 ", $823 ," $1,004 "
ALABAMA,SUMTER COUNTY,"LIVINGSTON, CITY OF (010195)", 2 ," $107,000 "," $2,639 "," $3,598 "
ALABAMA,SUMTER COUNTY,SUMTER COUNTY* (010194), 36 ," $6,619,000 "," $33,698 "," $43,731 "
ALABAMA,SUMTER COUNTY,"YORK, CITY OF (010196)", 4 ," $1,176,000 "," $3,695 "," $5,101 "
ALABAMA,TALLADEGA COUNTY,"BON AIR, TOWN OF (010296)", 1 ," $20,000 ", $445 , $542 
ALABAMA,TALLADEGA COUNTY,"CHILDERSBURG, CITY OF (010197)", 57 ," $6,944,000 "," $44,387 "," $59,617 "
ALABAMA,TALLADEGA COUNTY,"LINCOLN, CITY OF (010198)", 51 ," $12,306,000 "," $43,577 "," $54,292 "
ALABAMA,TALLADEGA COUNTY,"OXFORD, CITY OF (010023)", 29 ," $7,792,000 "," $36,533 "," $43,588 "
ALABAMA,TALLADEGA COUNTY,"SYLACAUGA, CITY OF (010199)", 88 ," $28,278,000 "," $130,822 "," $166,172 "
ALABAMA,TALLADEGA COUNTY,"TALLADEGA, CITY OF (010200)", 54 ," $8,853,000 "," $66,368 "," $82,584 "
ALABAMA,TALLADEGA COUNTY,TALLADEGA COUNTY * (010297), 176 ," $38,510,000 "," $179,296 "," $223,038 "
ALABAMA,TALLAPOOSA COUNTY,"ALEXANDER CITY, CITY OF (010210)", 8 ," $2,259,000 "," $7,702 "," $9,670 "
ALABAMA,TALLAPOOSA COUNTY,"JACKSON'S GAP, TOWN OF (010499)", 1 ," $350,000 ", $755 , $907 
ALABAMA,TALLAPOOSA COUNTY,TALLAPOOSA COUNTY* (010326), 74 ," $20,792,000 "," $74,310 "," $97,012 "
ALABAMA,TUSCALOOSA COUNTY,"BROOKWOOD, TOWN OF (010431)", 1 ," $107,000 ", $524 , $635 
ALABAMA,TUSCALOOSA COUNTY,"COALING, TOWN OF (010480)", 2 ," $280,000 ", $889 ," $1,082 "
ALABAMA,TUSCALOOSA COUNTY,"COKER, TOWN OF (010481)", 1 ," $98,000 ", $844 ," $1,012 "
ALABAMA,TUSCALOOSA COUNTY,"MOUNDVILLE, TOWN OF (010096)", 1 ," $131,000 ", $970 ," $1,161 "
ALABAMA,TUSCALOOSA COUNTY,"NORTHPORT, CITY OF (010202)", 130 ," $32,840,000 "," $116,076 "," $144,749 "
ALABAMA,TUSCALOOSA COUNTY,"TUSCALOOSA, CITY OF (010203)", 385 ," $99,174,000 "," $424,028 "," $547,064 "
ALABAMA,TUSCALOOSA COUNTY,TUSCALOOSA COUNTY * (010201), 214 ," $53,093,000 "," $202,227 "," $254,763 "
ALABAMA,Unknown,"BIRMINGHAM, CITY OF (010116)", 1 ," $400,000 "," $1,151 "," $1,600 "
ALABAMA,Unknown,"DECATUR, CITY OF (010176)", 1 ," $132,000 "," $1,552 "," $1,848 "
ALABAMA,Unknown,"DOTHAN, CITY OF (010104)", 3 ," $1,083,000 "," $6,320 "," $7,957 "
ALABAMA,Unknown,"ENTERPRISE, CITY OF (010045)", 1 ," $350,000 ", $691 , $832 
ALABAMA,Unknown,"HOOVER, CITY OF (010123)", 3 ," $1,050,000 "," $3,647 "," $4,354 "
ALABAMA,Unknown,"HUNTSVILLE, CITY OF (010153)", 83 ," $25,827,000 "," $69,969 "," $92,263 "
ALABAMA,Unknown,"MADISON, CITY OF (010308)", 9 ," $2,950,000 "," $7,510 "," $9,460 "
ALABAMA,Unknown,"MILLBROOK, CITY OF (010370)", 1 ," $350,000 ", $754 ," $1,131 "
ALABAMA,Unknown,"MOUNDVILLE, TOWN OF (010096)", 1 ," $350,000 ", $663 , $799 
ALABAMA,Unknown,"PRATTVILLE, CITY OF (010002)", 1 ," $113,000 ", $405 , $494 
ALABAMA,Unknown,"VESTAVIA HILLS, CITY OF (010132)", 3 ," $480,000 "," $3,941 "," $4,476 "
ALABAMA,Unknown,"VINCENT, TOWN OF (010292)", 1 ," $350,000 ", $616 , $743 
ALABAMA,WALKER COUNTY,"CARBON HILL, CITY OF (010204)", 4 ," $498,000 "," $6,601 "," $8,755 "
ALABAMA,WALKER COUNTY,"JASPER, CITY OF (010206)", 12 ," $4,971,000 "," $19,135 "," $24,128 "
ALABAMA,WALKER COUNTY,"OAKMAN, TOWN OF (010299)", 7 ," $1,335,000 "," $7,358 "," $9,025 "
ALABAMA,WALKER COUNTY,WALKER COUNTY * (010301), 69 ," $14,704,000 "," $82,752 "," $102,839 "
ALABAMA,WASHINGTON COUNTY,"CHATOM, TOWN OF (010376)", 1 ," $350,000 ", $700 ," $1,068 "
ALABAMA,WASHINGTON COUNTY,"MILLRY, TOWN OF (010207)", 4 ," $520,000 "," $5,542 "," $6,605 "
ALABAMA,WASHINGTON COUNTY,WASHINGTON COUNTY* (010302), 8 ," $1,853,000 "," $10,086 "," $12,709 "
ALABAMA,WILCOX COUNTY,"CAMDEN, CITY OF (010471)", 1 ," $217,000 ", $396 , $484 
ALABAMA,WILCOX COUNTY,"PINE HILL, TOWN OF (010397)", 3 ," $540,000 "," $1,938 "," $2,562 "
ALABAMA,WILCOX COUNTY,WILCOX COUNTY* (010327), 49 ," $9,090,000 "," $49,975 "," $64,280 "
ALABAMA,WINSTON COUNTY,WINSTON COUNTY * (010304), 38 ," $8,834,000 "," $37,188 "," $50,134 "
ALASKA,ANCHORAGE BOROUGH,"ANCHORAGE, MUNICIPALITY OF (020005)", 380 ," $119,853,000 "," $103,232 "," $149,596 "
ALASKA,BETHEL CENSUS AREA,"ANIAK, CITY OF (020033)", 31 ," $9,037,000 "," $9,369 "," $14,945 "
ALASKA,BETHEL CENSUS AREA,"BETHEL, CITY OF (020104)", 71 ," $23,396,000 "," $24,978 "," $38,300 "
ALASKA,DILLINGHAM CENSUS AREA,"DILLINGHAM, CITY OF (020041)", 1 ," $1,000,000 ", $435 , $755 
ALASKA,DILLINGHAM CENSUS AREA,"TOGIAK, CITY OF (020090)", 1 ," $500,000 ", $290 , $584 
ALASKA,FAIRBANKS NORTH STAR BOROUGH,FAIRBANKS NORTH STAR BOROUGH (025009), 599 ," $171,787,000 "," $250,711 "," $339,051 "
ALASKA,HAINES BOROUGH,HAINES BOROUGH (020007), 7 ," $2,450,000 "," $2,544 "," $3,343 "
ALASKA,JUNEAU BOROUGH,"JUNEAU, CITY AND BOROUGH OF (020009)", 408 ," $126,459,000 "," $137,888 "," $186,070 "
ALASKA,KENAI PENINSULA BOROUGH,"HOMER, CITY OF (020107)", 17 ," $4,870,000 "," $5,290 "," $9,224 "
ALASKA,KENAI PENINSULA BOROUGH,KENAI PENINSULA BOROUGH (020012), 289 ," $80,980,000 "," $122,104 "," $182,392 "
ALASKA,KENAI PENINSULA BOROUGH,"SEWARD, CITY OF (020113)", 22 ," $8,866,000 "," $18,547 "," $24,950 "
ALASKA,KETCHIKAN GATEWAY BOROUGH,KETCHIKAN GATEWAY BOROUGH (020003), 79 ," $32,130,000 "," $100,191 "," $130,783 "
ALASKA,MATANUSKA-SUSITNA BOROUGH,"MATANUSKA-SUSITNA, BOROUGH OF (020021)", 202 ," $63,083,000 "," $63,045 "," $94,165 "
ALASKA,NOME CENSUS AREA,"NOME, CITY OF (020069)", 35 ," $11,504,000 "," $26,002 "," $33,739 "
ALASKA,NOME CENSUS AREA,"SHISHMAREF, CITY OF (020084)", 10 ," $4,449,000 "," $32,004 "," $40,179 "
ALASKA,NORTHWEST ARTIC BOROUGH,"KOTZEBUE, CITY OF (020059)", 16 ," $4,410,000 "," $23,710 "," $30,043 "
ALASKA,SITKA BOROUGH,"SITKA, CITY AND BOROUGH OF (020006)", 74 ," $23,210,000 "," $85,105 "," $107,502 "
ALASKA,SKAGWAY-HOONAH-ANGOON CA,"SKAGWAY, CITY OF (025011)", 11 ," $2,382,000 "," $3,160 "," $5,711 "
ALASKA,VALDEZ-CORDOVA CENSUS AREA,"CORDOVA, CITY OF (020037)", 23 ," $7,223,000 "," $10,768 "," $15,786 "
ALASKA,VALDEZ-CORDOVA CENSUS AREA,"VALDEZ, CITY OF (020094)", 21 ," $6,702,000 "," $6,558 "," $9,210 "
ALASKA,WADE HAMPTON CENSUS AREA,"EMMONAK, CITY OF (020125)", 21 ," $4,862,000 "," $38,146 "," $39,982 "
ALASKA,WRANGELL-PETERSBURG CA,"PETERSBURG, CITY OF (020074)", 29 ," $8,986,000 "," $18,129 "," $24,347 "
ALASKA,YUKON-KOYUKUK CENSUS AREA,"FORT YUKON, CITY OF (020045)", 6 ," $775,000 "," $12,269 "," $12,334 "
ALASKA,YUKON-KOYUKUK CENSUS AREA,"GALENA, CITY OF (020124)", 36 ," $10,495,000 "," $10,448 "," $17,874 "
ALASKA,YUKON-KOYUKUK CENSUS AREA,"MCGRATH, CITY OF (020128)", 6 ," $2,933,000 "," $3,032 "," $4,353 "
ALASKA,YUKON-KOYUKUK CENSUS AREA,"NENANA, CITY OF (025010)", 27 ," $6,614,000 "," $9,469 "," $13,420 "
ARIZONA,APACHE COUNTY,APACHE COUNTY * (040001), 13 ," $2,714,000 "," $11,813 "," $14,829 "
ARIZONA,APACHE COUNTY,"EAGAR, TOWN OF (040103)", 11 ," $2,788,000 "," $10,773 "," $12,893 "
ARIZONA,APACHE COUNTY,"SPRINGERVILLE, TOWN OF (040011)", 2 ," $1,070,000 "," $2,492 "," $3,199 "
ARIZONA,APACHE COUNTY,"ST. JOHNS, CITY OF (040010)", 6 ," $1,105,000 "," $4,221 "," $5,305 "
ARIZONA,COCHISE COUNTY,"BENSON, CITY OF (040013)", 1 ," $350,000 ", $621 , $749 
ARIZONA,COCHISE COUNTY,"BISBEE, CITY OF (040014)", 65 ," $12,279,000 "," $49,010 "," $63,178 "
ARIZONA,COCHISE COUNTY,COCHISE COUNTY* (040012), 446 ," $89,897,000 "," $421,953 "," $519,456 "
ARIZONA,COCHISE COUNTY,"DOUGLAS, CITY OF (040015)", 38 ," $8,528,000 "," $26,819 "," $37,677 "
ARIZONA,COCHISE COUNTY,"HUACHUCA CITY, TOWN OF (040016)", 18 ," $2,238,000 "," $29,694 "," $35,561 "
ARIZONA,COCHISE COUNTY,"SIERRA VISTA, CITY OF (040017)", 66 ," $18,472,000 "," $53,252 "," $66,627 "
ARIZONA,COCHISE COUNTY,"TOMBSTONE, CITY OF (040106)", 1 ," $228,000 ", $588 , $710 
ARIZONA,COCHISE COUNTY,"WILLCOX, CITY OF (040018)", 212 ," $40,860,000 "," $198,942 "," $250,865 "
ARIZONA,COCONINO COUNTY,COCONINO COUNTY * (040019), 504 ," $134,686,000 "," $438,126 "," $559,004 "
ARIZONA,COCONINO COUNTY,"FLAGSTAFF, CITY OF (040020)", 556 ," $165,710,000 "," $605,434 "," $784,993 "
ARIZONA,COCONINO COUNTY,"FREDONIA, TOWN OF (040021)", 4 ," $1,435,000 "," $4,248 "," $5,529 "
ARIZONA,COCONINO COUNTY,"PAGE, CITY OF (040113)", 2 ," $680,000 "," $1,021 "," $1,238 "
ARIZONA,COCONINO COUNTY,"SEDONA, CITY OF (040130)", 96 ," $28,330,000 "," $146,349 "," $184,179 "
ARIZONA,COCONINO COUNTY,"WILLIAMS, CITY OF (040027)", 31 ," $9,628,000 "," $48,674 "," $61,549 "
ARIZONA,GILA COUNTY,GILA COUNTY * (040028), 219 ," $42,984,000 "," $262,067 "," $330,411 "
ARIZONA,GILA COUNTY,"GLOBE, CITY OF (040029)", 35 ," $10,081,000 "," $64,124 "," $80,295 "
ARIZONA,GILA COUNTY,"MIAMI, TOWN OF (040030)", 15 ," $2,140,000 "," $24,627 "," $30,210 "
ARIZONA,GILA COUNTY,"PAYSON, TOWN OF (040107)", 23 ," $6,651,000 "," $13,862 "," $18,537 "
ARIZONA,GILA COUNTY,"STAR VALLEY, TOWN OF (040022)", 25 ," $4,604,000 "," $31,442 "," $39,765 "
ARIZONA,GRAHAM COUNTY,GRAHAM COUNTY* (040032), 124 ," $25,248,000 "," $102,006 "," $125,567 "
ARIZONA,GRAHAM COUNTY,"PIMA, TOWN OF (040033)", 53 ," $8,936,000 "," $38,216 "," $48,216 "
ARIZONA,GRAHAM COUNTY,"SAFFORD, CITY OF (040124)", 10 ," $3,100,000 "," $9,527 "," $11,858 "
ARIZONA,GRAHAM COUNTY,"THATCHER, TOWN OF (040117)", 22 ," $5,065,000 "," $13,314 "," $16,527 "
ARIZONA,GREENLEE COUNTY,"CLIFTON, TOWN OF (040035)", 7 ," $2,816,000 "," $14,956 "," $18,664 "
ARIZONA,GREENLEE COUNTY,"DUNCAN, TOWN OF (040036)", 5 ," $853,000 "," $6,611 "," $8,332 "
ARIZONA,GREENLEE COUNTY,GREENLEE COUNTY* (040110), 7 ," $1,204,000 "," $5,942 "," $7,353 "
ARIZONA,LA PAZ COUNTY,LA PAZ COUNTY* (040122), 220 ," $53,520,000 "," $227,613 "," $296,583 "
ARIZONA,LA PAZ COUNTY,"PARKER, TOWN OF (040100)", 2 ," $400,000 "," $1,146 "," $1,836 "
ARIZONA,LA PAZ COUNTY,"QUARTZSITE, TOWN OF (040134)", 50 ," $7,669,000 "," $50,496 "," $64,463 "
ARIZONA,MARICOPA COUNTY,"AVONDALE, CITY OF (040038)", 25 ," $9,108,000 "," $24,029 "," $30,794 "
ARIZONA,MARICOPA COUNTY,"BUCKEYE, CITY OF (040039)", 63 ," $21,203,000 "," $48,378 "," $60,823 "
ARIZONA,MARICOPA COUNTY,"CAREFREE, TOWN OF (040126)", 29 ," $10,072,000 "," $19,687 "," $24,387 "
ARIZONA,MARICOPA COUNTY,"CAVE CREEK, TOWN OF (040129)", 30 ," $9,447,000 "," $28,003 "," $35,112 "
ARIZONA,MARICOPA COUNTY,"CHANDLER, CITY OF (040040)", 196 ," $68,901,000 "," $149,995 "," $195,990 "
ARIZONA,MARICOPA COUNTY,"EL MIRAGE, CITY OF (040041)", 7 ," $2,208,000 "," $5,904 "," $7,308 "
ARIZONA,MARICOPA COUNTY,"FOUNTAIN HILLS, TOWN OF (040135)", 37 ," $9,053,000 "," $20,235 "," $26,712 "
ARIZONA,MARICOPA COUNTY,"GILA BEND, TOWN OF (040043)", 16 ," $3,180,000 "," $14,227 "," $19,752 "
ARIZONA,MARICOPA COUNTY,"GILBERT, TOWN OF (040044)", 284 ," $97,807,000 "," $272,948 "," $345,676 "
ARIZONA,MARICOPA COUNTY,"GLENDALE, CITY OF (040045)", 124 ," $41,188,000 "," $93,294 "," $117,317 "
ARIZONA,MARICOPA COUNTY,"GOODYEAR, CITY OF (040046)", 100 ," $33,763,000 "," $76,288 "," $93,698 "
ARIZONA,MARICOPA COUNTY,"GUADALUPE, TOWN OF (040111)", 4 ," $870,000 "," $2,239 "," $3,158 "
ARIZONA,MARICOPA COUNTY,"LITCHFIELD PARK, CITY OF (040128)", 6 ," $1,371,000 "," $2,813 "," $3,868 "
ARIZONA,MARICOPA COUNTY,MARICOPA COUNTY* (040037)," 2,187 "," $580,276,000 "," $1,352,164 "," $1,696,507 "
ARIZONA,MARICOPA COUNTY,"MESA, CITY OF (040048)", 273 ," $92,720,000 "," $228,030 "," $291,810 "
ARIZONA,MARICOPA COUNTY,"PARADISE VALLEY, TOWN OF (040049)", 119 ," $39,793,000 "," $86,890 "," $108,776 "
ARIZONA,MARICOPA COUNTY,"PEORIA, CITY OF (040050)", 166 ," $60,314,000 "," $153,682 "," $195,790 "
ARIZONA,MARICOPA COUNTY,"PHOENIX, CITY OF (040051)"," 3,385 "," $885,901,000 "," $1,914,838 "," $2,477,544 "
ARIZONA,MARICOPA COUNTY,"QUEEN CREEK, TOWN OF (040132)", 23 ," $7,157,000 "," $21,764 "," $26,288 "
ARIZONA,MARICOPA COUNTY,"SCOTTSDALE, CITY OF (045012)"," 5,443 "," $1,590,406,000 "," $2,920,261 "," $3,864,123 "
ARIZONA,MARICOPA COUNTY,"SURPRISE, CITY OF (040053)", 148 ," $49,086,000 "," $126,378 "," $158,325 "
ARIZONA,MARICOPA COUNTY,"TEMPE, CITY OF (040054)", 134 ," $43,332,000 "," $109,835 "," $141,275 "
ARIZONA,MARICOPA COUNTY,"TOLLESON, CITY OF (040055)", 25 ," $8,100,000 "," $29,655 "," $38,335 "
ARIZONA,MARICOPA COUNTY,"WICKENBURG, TOWN OF (040056)", 36 ," $9,483,000 "," $33,105 "," $42,587 "
ARIZONA,MARICOPA COUNTY,"YOUNGTOWN, TOWN OF (040057)", 2 ," $600,000 "," $1,370 "," $1,874 "
ARIZONA,MOHAVE COUNTY,"BULLHEAD CITY, CITY OF (040125)", 319 ," $66,562,000 "," $163,027 "," $215,196 "
ARIZONA,MOHAVE COUNTY,"KINGMAN, CITY OF (040060)", 78 ," $20,085,000 "," $57,938 "," $77,085 "
